epoch=87 gen_loss=0.7035 critic_loss=-12.4794 gp=0.2758
epoch=88 gen_loss=0.7350 critic_loss=-12.4906 gp=0.2758
epoch=89 gen_loss=0.7225 critic_loss=-12.4660 gp=0.2754
epoch=90 gen_loss=0.6923 critic_loss=-12.4678 gp=0.2704
epoch=91 gen_loss=0.8987 critic_loss=-12.4541 gp=0.2737
epoch=92 gen_loss=0.5730 critic_loss=-12.4729 gp=0.2736
epoch=93 gen_loss=0.8077 critic_loss=-12.5689 gp=0.2778
epoch=94 gen_loss=0.5894 critic_loss=-12.4786 gp=0.2764
epoch=95 gen_loss=0.7274 critic_loss=-12.6008 gp=0.2799
epoch=96 gen_loss=0.7051 critic_loss=-12.5955 gp=0.2785
epoch=97 gen_loss=0.4330 critic_loss=-12.6549 gp=0.2773
epoch=98 gen_loss=1.1572 critic_loss=-12.6770 gp=0.2827
epoch=99 gen_loss=0.9693 critic_loss=-12.8759 gp=0.2838
epoch=100 gen_loss=0.0699 critic_loss=-12.8189 gp=0.2846
epoch=101 gen_loss=0.9642 critic_loss=-12.8878 gp=0.2852
epoch=102 gen_loss=0.3074 critic_loss=-12.6994 gp=0.2875
epoch=103 gen_loss=0.6249 critic_loss=-12.8145 gp=0.2863
epoch=104 gen_loss=0.9780 critic_loss=-12.9386 gp=0.2926
epoch=105 gen_loss=0.7050 critic_loss=-12.8873 gp=0.2887
epoch=106 gen_loss=0.6239 critic_loss=-12.9934 gp=0.2903
epoch=107 gen_loss=0.7521 critic_loss=-13.1763 gp=0.2971
epoch=108 gen_loss=0.8111 critic_loss=-12.9860 gp=0.2888
epoch=109 gen_loss=0.7404 critic_loss=-12.9447 gp=0.2944
epoch=110 gen_loss=0.4496 critic_loss=-13.2159 gp=0.2981
epoch=111 gen_loss=0.6877 critic_loss=-13.0590 gp=0.2916
epoch=112 gen_loss=0.7582 critic_loss=-13.3434 gp=0.3042
epoch=113 gen_loss=0.4127 critic_loss=-13.1862 gp=0.3034
epoch=114 gen_loss=0.6510 critic_loss=-13.3368 gp=0.3052
epoch=115 gen_loss=0.5500 critic_loss=-13.3317 gp=0.2986
epoch=116 gen_loss=0.7178 critic_loss=-13.3796 gp=0.3067
epoch=117 gen_loss=0.5156 critic_loss=-13.4979 gp=0.3086
epoch=118 gen_loss=0.5544 critic_loss=-13.5512 gp=0.3138
epoch=119 gen_loss=1.0029 critic_loss=-13.6308 gp=0.3209
epoch=120 gen_loss=0.2599 critic_loss=-13.4418 gp=0.3114
epoch=121 gen_loss=0.7236 critic_loss=-13.5930 gp=0.3101
epoch=122 gen_loss=0.7532 critic_loss=-13.6070 gp=0.3147
epoch=123 gen_loss=0.7166 critic_loss=-13.5226 gp=0.3073
epoch=124 gen_loss=0.4517 critic_loss=-13.5047 gp=0.3125
epoch=125 gen_loss=0.4257 critic_loss=-13.6666 gp=0.3145
epoch=126 gen_loss=0.3741 critic_loss=-13.9040 gp=0.3204
epoch=127 gen_loss=0.7531 critic_loss=-13.7424 gp=0.3228
epoch=128 gen_loss=0.3608 critic_loss=-13.8118 gp=0.3196
epoch=129 gen_loss=0.4520 critic_loss=-13.7412 gp=0.3165
epoch=130 gen_loss=0.5880 critic_loss=-13.8825 gp=0.3248
epoch=131 gen_loss=0.3591 critic_loss=-13.9966 gp=0.3265
epoch=132 gen_loss=0.8404 critic_loss=-13.9414 gp=0.3288
epoch=133 gen_loss=0.5716 critic_loss=-14.0328 gp=0.3286
epoch=134 gen_loss=0.6277 critic_loss=-14.1746 gp=0.3338
epoch=135 gen_loss=0.4251 critic_loss=-14.1715 gp=0.3381
epoch=136 gen_loss=0.5194 critic_loss=-14.1588 gp=0.3331
epoch=137 gen_loss=0.1553 critic_loss=-14.1565 gp=0.3333
epoch=138 gen_loss=0.7070 critic_loss=-14.2458 gp=0.3347
epoch=139 gen_loss=0.6247 critic_loss=-14.4820 gp=0.3474
epoch=140 gen_loss=0.3874 critic_loss=-14.2475 gp=0.3343
epoch=141 gen_loss=0.3916 critic_loss=-14.2447 gp=0.3355
epoch=142 gen_loss=0.7706 critic_loss=-14.4593 gp=0.3445
epoch=143 gen_loss=0.3988 critic_loss=-14.5185 gp=0.3462
epoch=144 gen_loss=0.3289 critic_loss=-14.5638 gp=0.3447
epoch=145 gen_loss=0.5746 critic_loss=-14.4129 gp=0.3427
epoch=146 gen_loss=0.4545 critic_loss=-14.5767 gp=0.3474
epoch=147 gen_loss=0.6591 critic_loss=-14.5338 gp=0.3456
epoch=148 gen_loss=0.3682 critic_loss=-14.7884 gp=0.3567
epoch=149 gen_loss=0.4953 critic_loss=-14.5545 gp=0.3521
epoch=150 gen_loss=0.3824 critic_loss=-14.5656 gp=0.3509
epoch=151 gen_loss=0.7350 critic_loss=-14.8317 gp=0.3624
epoch=152 gen_loss=0.0888 critic_loss=-14.6416 gp=0.3511
epoch=153 gen_loss=0.5312 critic_loss=-14.7319 gp=0.3538
epoch=154 gen_loss=0.3782 critic_loss=-14.9026 gp=0.3610
epoch=155 gen_loss=0.7168 critic_loss=-14.8250 gp=0.3568
epoch=156 gen_loss=0.1782 critic_loss=-15.0295 gp=0.3638
epoch=157 gen_loss=0.0778 critic_loss=-14.9558 gp=0.3609
epoch=158 gen_loss=0.7634 critic_loss=-14.9483 gp=0.3636
epoch=159 gen_loss=0.0593 critic_loss=-15.0004 gp=0.3626
epoch=160 gen_loss=0.4757 critic_loss=-15.0446 gp=0.3605
epoch=161 gen_loss=0.5072 critic_loss=-15.1389 gp=0.3701
epoch=162 gen_loss=0.3990 critic_loss=-15.1008 gp=0.3740
epoch=163 gen_loss=0.0565 critic_loss=-15.3276 gp=0.3748
epoch=164 gen_loss=0.4396 critic_loss=-15.2051 gp=0.3708
epoch=165 gen_loss=0.6937 critic_loss=-15.2811 gp=0.3767
epoch=166 gen_loss=0.1753 critic_loss=-15.3155 gp=0.3768
epoch=167 gen_loss=0.1034 critic_loss=-15.3833 gp=0.3757
epoch=168 gen_loss=0.6217 critic_loss=-15.4265 gp=0.3806
epoch=169 gen_loss=0.5865 critic_loss=-15.5239 gp=0.3796
epoch=170 gen_loss=0.6162 critic_loss=-15.5489 gp=0.3904
epoch=171 gen_loss=0.0039 critic_loss=-15.4557 gp=0.3777
epoch=172 gen_loss=0.5645 critic_loss=-15.6675 gp=0.3888
epoch=173 gen_loss=0.2558 critic_loss=-15.5498 gp=0.3853
epoch=174 gen_loss=0.2030 critic_loss=-15.6102 gp=0.3837
epoch=175 gen_loss=0.3689 critic_loss=-15.6513 gp=0.3887
epoch=176 gen_loss=0.4076 critic_loss=-15.8166 gp=0.3934
epoch=177 gen_loss=0.1374 critic_loss=-15.8046 gp=0.3958
